source,target,weight
10.16786/j.cnki.1671-8887.eem.2025.06.009,一种双阶段电力数据异常分析模型,0.35921060405354976
10.16786/j.cnki.1671-8887.eem.2025.06.009,基于分布式优化算法的电力系统负荷预测方法,0.294174202707276
10.16786/j.cnki.1671-8887.eem.2025.06.009,融合VMD-MPC算法的多微电网能量调度技术优化,0.3441236008058426
10.19389/j.cnki.1003-0506.2025.03.034,10.19585/j.zjdl.202506005,0.47152096009644867
10.19389/j.cnki.1003-0506.2025.03.034,10.19651/j.cnki.emt.2519013,0.5582905262390825
10.19389/j.cnki.1003-0506.2025.03.034,10.19783/j.cnki.pspc.241701,0.5142594772265799
10.19389/j.cnki.1003-0506.2025.03.034,10.26918/d.cnki.ghngc.2025.001579,0.619750683009635
10.19389/j.cnki.1003-0506.2025.03.034,10.27029/d.cnki.ggdgu.2025.000906,0.49442568981541163
10.19389/j.cnki.1003-0506.2025.03.034,10.27753/d.cnki.gcqgx.2025.001522,0.5814861645428298
10.19389/j.cnki.1003-0506.2025.03.034,10.3390/EN19010061,0.5999169722544978
10.19389/j.cnki.1003-0506.2025.03.034,一种双阶段电力数据异常分析模型,0.6126716648539868
10.19389/j.cnki.1003-0506.2025.03.034,基于联邦Dueling DQN的基站微电网能量与计算资源联合调度,0.5946187253790689
10.19457/j.1001-2095.dqcd24909,10.19768/j.cnki.dgjs.2025.23.039,0.5373186100548618
10.19457/j.1001-2095.dqcd24909,10.19769/j.zdhy.2025.24.043,0.3921652392120016
10.19457/j.1001-2095.dqcd24909,10.19911/j.1003-0417.tyn20231115.01,0.570298147826109
10.19457/j.1001-2095.dqcd24909,10.19912/j.0254-0096.tynxb.2023-1790,0.5237314873543454
10.19457/j.1001-2095.dqcd24909,10.26926/d.cnki.gbfgu.2024.000792,0.5330017908890261
10.19457/j.1001-2095.dqcd24909,10.27029/d.cnki.ggdgu.2025.000906,0.5161319060481777
10.19457/j.1001-2095.dqcd24909,10.27029/d.cnki.ggdgu.2025.001070,0.5263613559678152
10.19457/j.1001-2095.dqcd24909,10.27047/d.cnki.ggudu.2024.003176,0.5312342737798692
10.19457/j.1001-2095.dqcd24909,10.27398/d.cnki.gxalu.2024.000658,0.5719694409972929
10.19457/j.1001-2095.dqcd24909,10.27753/d.cnki.gcqgx.2025.001522,0.5209626352440592
10.19457/j.1001-2095.dqcd24909,10.27763/d.cnki.gahgc.2024.000190,0.5635328058148883
10.19457/j.1001-2095.dqcd24909,10.3390/BUILDINGS16010170,0.48349377841522817
10.19457/j.1001-2095.dqcd24909,10.3390/SU172411158,0.3876574430285532
10.19457/j.1001-2095.dqcd24909,10.3390/forecast7020025,0.44136741475237473
10.19457/j.1001-2095.dqcd24909,10.5152/electrica.2024.22107,0.5413127381832802
